tree_order,cell_name,parent,founder_lineage,generation_from_founder,depth_from_P0,is_terminal,x_position,birth_time_min,end_time_min,branch_duration_min,apop_fate,ignore_apoptosis_fate
435,ABarpapaaa,ABarpapaa,AB,8,9,False,214.5,205.0,235.0,30.0,Unspecified,Neuron
436,ABarpapaaaa,ABarpapaaa,AB,9,10,True,214.0,235.0,263.0,28.0,Neuron,Neuron
437,ABarpapaaap,ABarpapaaa,AB,9,10,True,215.0,235.0,263.0,28.0,Death,Not annotated
438,ABarpapaap,ABarpapaa,AB,8,9,False,216.75,205.0,235.0,30.0,Unspecified,Neuron
439,ABarpapaapa,ABarpapaap,AB,9,10,True,216.0,235.0,263.0,28.0,Death,Not annotated
440,ABarpapaapp,ABarpapaap,AB,9,10,False,217.5,235.0,269.0,34.0,Neuron,Neuron
441,ABarpapaappa,ABarpapaapp,AB,10,11,True,217.0,269.0,297.0,28.0,Neuron,Neuron
442,ABarpapaappp,ABarpapaapp,AB,10,11,True,218.0,269.0,297.0,28.0,Neuron,Neuron
443,ABarpapap,ABarpapa,AB,7,8,False,219.5,178.0,205.0,27.0,Skin,Skin
444,ABarpapapa,ABarpapap,AB,8,9,True,219.0,205.0,233.0,28.0,Skin,Skin
445,ABarpapapp,ABarpapap,AB,8,9,True,220.0,205.0,233.0,28.0,Skin,Skin
446,ABarpapp,ABarpap,AB,6,7,False,222.5,154.0,178.0,24.0,Skin,Skin
447,ABarpappa,ABarpapp,AB,7,8,False,221.5,178.0,205.0,27.0,Skin,Skin
448,ABarpappaa,ABarpappa,AB,8,9,True,221.0,205.0,233.0,28.0,Skin,Skin
449,ABarpappap,ABarpappa,AB,8,9,True,222.0,205.0,233.0,28.0,Skin,Skin
450,ABarpappp,ABarpapp,AB,7,8,False,223.5,178.0,205.0,27.0,Skin,Skin
451,ABarpapppa,ABarpappp,AB,8,9,True,223.0,205.0,233.0,28.0,Skin,Skin
452,ABarpapppp,ABarpappp,AB,8,9,True,224.0,205.0,233.0,28.0,Skin,Skin
453,ABarpp,ABarp,AB,4,5,False,233.5625,112.0,132.0,20.0,Unspecified,Unspecified
454,ABarppa,ABarpp,AB,5,6,False,229.0625,132.0,154.0,22.0,Unspecified,Unspecified
455,ABarppaa,ABarppa,AB,6,7,False,226.625,154.0,178.0,24.0,Unspecified,Unspecified
456,ABarppaaa,ABarppaa,AB,7,8,False,225.5,178.0,205.0,27.0,Unspecified,Unspecified
457,ABarppaaaa,ABarppaaa,AB,8,9,True,225.0,205.0,233.0,28.0,Neuron,Neuron
458,ABarppaaap,ABarppaaa,AB,8,9,True,226.0,205.0,233.0,28.0,Skin,Skin
459,ABarppaap,ABarppaa,AB,7,8,False,227.75,178.0,205.0,27.0,Unspecified,Unspecified
460,ABarppaapa,ABarppaap,AB,8,9,True,227.0,205.0,233.0,28.0,Skin,Skin
461,ABarppaapp,ABarppaap,AB,8,9,False,228.5,205.0,235.0,30.0,Neuron,Neuron
462,ABarppaappa,ABarppaapp,AB,9,10,True,228.0,235.0,263.0,28.0,Neuron,Neuron
463,ABarppaappp,ABarppaapp,AB,9,10,True,229.0,235.0,263.0,28.0,Neuron,Neuron
464,ABarppap,ABarppa,AB,6,7,False,231.5,154.0,178.0,24.0,Skin,Skin
465,ABarppapa,ABarppap,AB,7,8,False,230.5,178.0,205.0,27.0,Skin,Skin
466,ABarppapaa,ABarppapa,AB,8,9,True,230.0,205.0,233.0,28.0,Skin,Skin
467,ABarppapap,ABarppapa,AB,8,9,True,231.0,205.0,233.0,28.0,Skin,Skin
468,ABarppapp,ABarppap,AB,7,8,False,232.5,178.0,205.0,27.0,Skin,Skin
469,ABarppappa,ABarppapp,AB,8,9,True,232.0,205.0,233.0,28.0,Skin,Skin
470,ABarppappp,ABarppapp,AB,8,9,True,233.0,205.0,233.0,28.0,Skin,Skin
471,ABarppp,ABarpp,AB,5,6,False,238.0625,132.0,154.0,22.0,Unspecified,Unspecified
472,ABarpppa,ABarppp,AB,6,7,False,235.625,154.0,178.0,24.0,Unspecified,Unspecified
473,ABarpppaa,ABarpppa,AB,7,8,False,234.5,178.0,205.0,27.0,Unspecified,Unspecified
474,ABarpppaaa,ABarpppaa,AB,8,9,True,234.0,205.0,233.0,28.0,Neuron,Neuron
475,ABarpppaap,ABarpppaa,AB,8,9,True,235.0,205.0,233.0,28.0,Skin,Skin
476,ABarpppap,ABarpppa,AB,7,8,False,236.75,178.0,205.0,27.0,Unspecified,Unspecified
477,ABarpppapa,ABarpppap,AB,8,9,True,236.0,205.0,233.0,28.0,Skin,Skin
478,ABarpppapp,ABarpppap,AB,8,9,False,237.5,205.0,235.0,30.0,Neuron,Neuron
479,ABarpppappa,ABarpppapp,AB,9,10,True,237.0,235.0,263.0,28.0,Neuron,Neuron
480,ABarpppappp,ABarpppapp,AB,9,10,True,238.0,235.0,263.0,28.0,Neuron,Neuron
481,ABarpppp,ABarppp,AB,6,7,False,240.5,154.0,178.0,24.0,Skin,Skin
482,ABarppppa,ABarpppp,AB,7,8,False,239.5,178.0,205.0,27.0,Skin,Skin
483,ABarppppaa,ABarppppa,AB,8,9,True,239.0,205.0,233.0,28.0,Skin,Skin
484,ABarppppap,ABarppppa,AB,8,9,True,240.0,205.0,233.0,28.0,Skin,Skin
485,ABarppppp,ABarpppp,AB,7,8,False,241.5,178.0,205.0,27.0,Skin,Skin
486,ABarpppppa,ABarppppp,AB,8,9,True,241.0,205.0,233.0,28.0,Skin,Skin
487,ABarpppppp,ABarppppp,AB,8,9,True,242.0,205.0,233.0,28.0,Skin,Skin
488,ABp,AB,AB,1,2,False,360.27734375,57.0,75.0,18.0,Unspecified,Not annotated
489,ABpl,ABp,AB,2,3,False,297.541015625,75.0,93.0,18.0,Unspecified,Unspecified
490,ABpla,ABpl,AB,3,4,False,268.04296875,93.0,112.0,19.0,Unspecified,Unspecified
491,ABplaa,ABpla,AB,4,5,False,255.03125,112.0,132.0,20.0,Unspecified,Unspecified
492,ABplaaa,ABplaa,AB,5,6,False,249.03125,132.0,154.0,22.0,Unspecified,Unspecified
493,ABplaaaa,ABplaaa,AB,6,7,False,246.5625,154.0,178.0,24.0,Unspecified,Unspecified
494,ABplaaaaa,ABplaaaa,AB,7,8,False,244.625,178.0,205.0,27.0,Unspecified,Neuron
495,ABplaaaaaa,ABplaaaaa,AB,8,9,False,243.5,205.0,235.0,30.0,Unspecified,Neuron
496,ABplaaaaaaa,ABplaaaaaa,AB,9,10,True,243.0,235.0,263.0,28.0,Neuron,Neuron
497,ABplaaaaaap,ABplaaaaaa,AB,9,10,True,244.0,235.0,263.0,28.0,Death,Not annotated
498,ABplaaaaap,ABplaaaaa,AB,8,9,False,245.75,205.0,235.0,30.0,Unspecified,Neuron
499,ABplaaaaapa,ABplaaaaap,AB,9,10,True,245.0,235.0,263.0,28.0,Death,Not annotated
500,ABplaaaaapp,ABplaaaaap,AB,9,10,False,246.5,235.0,269.0,34.0,Neuron,Neuron
501,ABplaaaaappa,ABplaaaaapp,AB,10,11,True,246.0,269.0,297.0,28.0,Neuron,Neuron
502,ABplaaaaappp,ABplaaaaapp,AB,10,11,True,247.0,269.0,297.0,28.0,Neuron,Neuron
503,ABplaaaap,ABplaaaa,AB,7,8,False,248.5,178.0,205.0,27.0,Skin,Skin
504,ABplaaaapa,ABplaaaap,AB,8,9,True,248.0,205.0,233.0,28.0,Skin,Skin
505,ABplaaaapp,ABplaaaap,AB,8,9,True,249.0,205.0,233.0,28.0,Skin,Skin
506,ABplaaap,ABplaaa,AB,6,7,False,251.5,154.0,178.0,24.0,Skin,Skin
507,ABplaaapa,ABplaaap,AB,7,8,False,250.5,178.0,205.0,27.0,Skin,Skin
508,ABplaaapaa,ABplaaapa,AB,8,9,True,250.0,205.0,233.0,28.0,Skin,Skin
509,ABplaaapap,ABplaaapa,AB,8,9,True,251.0,205.0,233.0,28.0,Skin,Skin
510,ABplaaapp,ABplaaap,AB,7,8,False,252.5,178.0,205.0,27.0,Skin,Skin
511,ABplaaappa,ABplaaapp,AB,8,9,True,252.0,205.0,233.0,28.0,Skin,Skin
512,ABplaaappp,ABplaaapp,AB,8,9,True,253.0,205.0,233.0,28.0,Skin,Skin
513,ABplaap,ABplaa,AB,5,6,False,261.03125,132.0,154.0,22.0,Unspecified,Unspecified
514,ABplaapa,ABplaap,AB,6,7,False,257.5625,154.0,178.0,24.0,Unspecified,Unspecified
515,ABplaapaa,ABplaapa,AB,7,8,False,255.5,178.0,205.0,27.0,Unspecified,Unspecified
516,ABplaapaaa,ABplaapaa,AB,8,9,False,254.5,205.0,235.0,30.0,Unspecified,Not annotated
517,ABplaapaaaa,ABplaapaaa,AB,9,10,True,254.0,235.0,263.0,28.0,Skin,Skin
518,ABplaapaaap,ABplaapaaa,AB,9,10,True,255.0,235.0,263.0,28.0,Neuron,Neuron
519,ABplaapaap,ABplaapaa,AB,8,9,False,256.5,205.0,235.0,30.0,Neuron,Neuron
520,ABplaapaapa,ABplaapaap,AB,9,10,True,256.0,235.0,263.0,28.0,Neuron,Neuron
521,ABplaapaapp,ABplaapaap,AB,9,10,True,257.0,235.0,263.0,28.0,Neuron,Neuron
522,ABplaapap,ABplaapa,AB,7,8,False,259.625,178.0,205.0,27.0,Unspecified,Neuron
523,ABplaapapa,ABplaapap,AB,8,9,False,258.5,205.0,235.0,30.0,Neuron,Neuron
524,ABplaapapaa,ABplaapapa,AB,9,10,True,258.0,235.0,263.0,28.0,Neuron,Neuron
525,ABplaapapap,ABplaapapa,AB,9,10,True,259.0,235.0,263.0,28.0,Neuron,Neuron
526,ABplaapapp,ABplaapap,AB,8,9,False,260.75,205.0,235.0,30.0,Unspecified,Neuron
527,ABplaapappa,ABplaapapp,AB,9,10,True,260.0,235.0,263.0,28.0,Neuron,Neuron
528,ABplaapappp,ABplaapapp,AB,9,10,False,261.5,235.0,269.0,34.0,Unspecified,Neuron
529,ABplaapapppa,ABplaapappp,AB,10,11,True,261.0,269.0,297.0,28.0,Neuron,Neuron
530,ABplaapapppp,ABplaapappp,AB,10,11,True,262.0,269.0,297.0,28.0,Death,Not annotated
531,ABplaapp,ABplaap,AB,6,7,False,264.5,154.0,178.0,24.0,Skin,Skin
532,ABplaappa,ABplaapp,AB,7,8,False,263.5,178.0,205.0,27.0,Skin,Skin
533,ABplaappaa,ABplaappa,AB,8,9,True,263.0,205.0,233.0,28.0,Skin,Skin
534,ABplaappap,ABplaappa,AB,8,9,True,264.0,205.0,233.0,28.0,Skin,Skin
535,ABplaappp,ABplaapp,AB,7,8,False,265.5,178.0,205.0,27.0,Skin,Skin
536,ABplaapppa,ABplaappp,AB,8,9,True,265.0,205.0,233.0,28.0,Skin,Skin
537,ABplaapppp,ABplaappp,AB,8,9,True,266.0,205.0,233.0,28.0,Skin,Skin
538,ABplap,ABpla,AB,4,5,False,281.0546875,112.0,132.0,20.0,Unspecified,Unspecified
539,ABplapa,ABplap,AB,5,6,False,274.578125,132.0,154.0,22.0,Unspecified,Unspecified
540,ABplapaa,ABplapa,AB,6,7,False,271.5,154.0,178.0,24.0,Unspecified,Unspecified
541,ABplapaaa,ABplapaa,AB,7,8,False,269.5,178.0,205.0,27.0,Unspecified,Neuron
542,ABplapaaaa,ABplapaaa,AB,8,9,False,267.75,205.0,235.0,30.0,Unspecified,Neuron
543,ABplapaaaaa,ABplapaaaa,AB,9,10,True,267.0,235.0,263.0,28.0,Death,Not annotated
544,ABplapaaaap,ABplapaaaa,AB,9,10,False,268.5,235.0,269.0,34.0,Neuron,Neuron
545,ABplapaaaapa,ABplapaaaap,AB,10,11,True,268.0,269.0,297.0,28.0,Neuron,Neuron
546,ABplapaaaapp,ABplapaaaap,AB,10,11,True,269.0,269.0,297.0,28.0,Neuron,Neuron
547,ABplapaaap,ABplapaaa,AB,8,9,False,271.25,205.0,235.0,30.0,Neuron,Neuron
548,ABplapaaapa,ABplapaaap,AB,9,10,False,270.5,235.0,269.0,34.0,Neuron,Neuron
549,ABplapaaapad,ABplapaaapa,AB,10,11,True,270.0,269.0,297.0,28.0,Neuron,Neuron
550,ABplapaaapav,ABplapaaapa,AB,10,11,True,271.0,269.0,297.0,28.0,Neuron,Neuron
551,ABplapaaapp,ABplapaaap,AB,9,10,True,272.0,235.0,263.0,28.0,Neuron,Neuron
552,ABplapaap,ABplapaa,AB,7,8,False,273.5,178.0,205.0,27.0,Unspecified,Unspecified
553,ABplapaapa,ABplapaap,AB,8,9,True,273.0,205.0,233.0,28.0,Other,Not annotated
554,ABplapaapp,ABplapaap,AB,8,9,True,274.0,205.0,233.0,28.0,Skin,Skin
555,ABplapap,ABplapa,AB,6,7,False,277.65625,154.0,178.0,24.0,Unspecified,Unspecified
556,ABplapapa,ABplapap,AB,7,8,False,276.25,178.0,205.0,27.0,Unspecified,Unspecified
557,ABplapapaa,ABplapapa,AB,8,9,False,275.5,205.0,235.0,30.0,Unspecified,Not annotated
558,ABplapapaaa,ABplapapaa,AB,9,10,True,275.0,235.0,263.0,28.0,Other,Not annotated
559,ABplapapaap,ABplapapaa,AB,9,10,True,276.0,235.0,263.0,28.0,Skin,Skin
560,ABplapapap,ABplapapa,AB,8,9,True,277.0,205.0,233.0,28.0,Skin,Skin
561,ABplapapp,ABplapap,AB,7,8,False,279.0625,178.0,205.0,27.0,Unspecified,Unspecified
562,ABplapappa,ABplapapp,AB,8,9,True,278.0,205.0,233.0,28.0,Skin,Skin
563,ABplapappp,ABplapapp,AB,8,9,False,280.125,205.0,235.0,30.0,Unspecified,Neuron
564,ABplapapppa,ABplapappp,AB,9,10,True,279.0,235.0,263.0,28.0,Death,Not annotated
